SOP Name,Source URL,Content
Logistics Transporter ID list,https://sites.google.com/shiprocket.com/sop-shiprocket/logistics-transporter-id-list,Logistics Transporter ID XpressBees :- 27AAGCB3904P2ZC Gati :- 36AADCG2096A1ZY Bluedart :- 27AAACB0446L1ZS Dotzot :- 27AAACB0446L1ZS Delhivery :- 06AAPCS9575E1ZR Ecomexpress :- 0 7AADCE1344F1Z2 FedEx :- 27AABCF6516A1Z3 DTDC :- 88AAACD8017H1ZX DTDC (GST NO.) :- 07AAACD8017H1ZU D
Rocket Express services,https://sites.google.com/shiprocket.com/sop-shiprocket/rocket-express-services,"Rocket Express services The process will be as follows: The Seller will place the order to respective courier (as per the current process) and the pickup will also show that the courier will pickup the shipment as per schedule Our fleet ( Rocket Express ) FE will Pick-up the shipments from the Long Tail seller and will also scan the shipment on the spot - Shipment status will change to Picked-up The shipments will then be handed over to the respective (Originally assigned) Courier from our pickup hub In case queries received in Call Center around this, the advisors have to inform seller that We have started our own pickup service to cater to the SMB sellers in Delhi ( only) ( any seller whose pickup address is outside Delhi shouldn't raise this query for now) if any seller from outside Delhi enquire about this service then explain than currently this service is not available once we start it we will share the information with them Seller can validate the Genuinity of the FE by checking the shipment details in their App - AWB no and other details will be visible on FE app Once the FE scans the shipment, the status will change to Picked up on Seller Panel They can also take the FEs sign on manifest for proof"
Return Shipment Delivery Out-TAT,https://sites.google.com/shiprocket.com/sop-shiprocket/return-shipment-delivery-out-tat,"Back Return Shipment Delivery Out-TAT Opening : Good Morning/Afternoon/Evening Welcome to shiprocket. My Name is _. How may I help you? System Check :- 1) Copy link from SPARK & paste it in new tab / Click on Internal ICRM (Ask for AWB no. i f unavailable) 2) Click on View details > Click on Shipment section 3) Check Suppress EDD Inform seller about the following:- Sir/Ma'am, I apologized for inconvenience cause to you . I am raising complaint and i request you to please wait for 1 to 2 working days for further update. Further assistance :- Is there service related anything else I can help you with ? Closing :- Thank you for calling Shiprocket. Have a nice day Disposition Nugget Ticket:- Seller User:- Seller's registered emai id Channel:- Lops Shipment Delivery Agent Assign :- As Per Courier Ticket Priority :- Low Status :- Open Subject :- Shipment Delivery Delay Reverse Body:- NA Private Notes :- NA Phone:- Calling number Source:- Phone / Chat Type:- Query FCR:- NFCR Escalation Desk/ORM Tag :- NA VOC :- NA SR Issue Category:- Shipment Delivery Sub Category :- Delay in Delivery RTO / Resverse Issue Details :- NA Courier Name:- NA AWB Number :- NA Multiple AWB Number :- NA Multiple Case Scenario :- NA Shipment Status :- NA Jira Link :- NA KAM Action Flag :- NA"
Price Hike Delhivery,https://sites.google.com/shiprocket.com/sop-shiprocket/price-hike-delhivery,"Price Hike Delhivery Opening : Good Morning/Afternoon/Evening Welcome to shiprocket. My Name is _. How may I help you? Concern: Seller asked about Price hike- Why Price for Delhivery courier is high Information:- English - Sir/Ma'am, This is the sudden development at the courier's end bearing in mind the current trend in fuel prices and other systemic factors in the logistics market, this is not a one of change and this price hike is being done by the courier across its client base. Hindi - Sir/ Mam, Fuel price mein increase ke kaaran logistic market mein changes hue hain aur isi kaaran Courier partner ne shipping prices change kiye hain aur yeh poore customer base par lagu hai. System Activity- Need to tag all such cases so that we know the quantum at EOD. we need to capture VOC of all such cases received at CC Need to create Open ticket with clear subject Line - Price Hike Delihivery and need to select Issue category- Others, S ub-Category- Others , Group- Client Support, Agent- Abhishek Gaur Tickets notes should be the words of seller- for Example- ""If seller is saying he is getting cheaper rates directly with delhivery"", we have to update the same in Ticket Notes. Tracker form to be filled- https://docs.google.com/spreadsheets/d/19nfOeqOocuwWBqVvFVoIGnGNO0WONmqS3ZM7eXHb_Qg/edit?usp=sharing Points to be taken care- Freight charges have been increased for xpressbees, Ecom express and delhivery. Advisors can suggest seller to use bluedart or other courier partners. Advisors will inform the seller that we have introduced two new courier partners and will suggest to ship their orders through those courier partners. Advisors has to respond confidently and should not sound low or fumble on call. Advisors will not suggest the seller to upgrade their plans. Advisors will not say that he will raise a complaint instead they will say that we have captured your feedback. FAQs- FAQ on Price hike for Customer support 1. Why has the prices of the courier increased? Sir/Ma’am, as you are aware the fuel prices have increased and this has given an impact on the operational cost of transportation and aviation industries, this is why courier partners have increased the freight charges for all the customer bases. 2. If Seller wants to know the affected courier partners Due to rise in fuel prices the courier partners like-Ecom xp, express bees and Delhivery have increased their freight charges 3. If seller complaints that the charges are too high and looking forward for other alternates with SR apart from these 3 couriers (Ecom ,Xp b and Delhivery) Sir/Ma’am, we do have 17+ different courier options available for you with us to do the shipments You can do the shipments via courier partners like. * Ekart * DTDC * Kerry logistics * Bluedart à Agent will educate - Blue Dart you can activate from your panel by uploading the same PAN CARD which you have submitted at the time of account KYC, after PAN card upload the Blue Dart will be activated in 24-48hrs. * Amazon Shipping (SWA) --- > Agent needs to check first if amazon channel is activated, if yes do not pitch Amazon ,Ekart and Ecom courier and can pitch - Blue Dart in case seller asks for other than agent will share other options – BD is recommended for Amazon And we are glad to inform you that we have introduced 2 more new courier partners in our platform Smart R and Load share You can easily check the freight charges from rate calculator via panel 4. How to check the new rates & serviceability of couriers? You can use the rate calculator to verify the new rates and courier serviceability using from Rate Calculator URL : https://www.shiprocket.in/shipping-rate-calculator/ 5.What will be the estimated charges for the other couriers The charges depend upon the source and destination pin code and the weight of the shipments, you can refer to Rate calculator from the panel 6. How many pin codes do we services Service? Sir/Ma’am, Overall, we are providing our services on 29000 pin code Further Assistance:- Is there service related anything else I can help you with ? Closing:- Thank you for calling shiprocket, have a great day ahead. FD Ticket Phone number :- Calling number Email :- S eller's registered email id FCR :- FCR-Addressed Issue category :- Others Sub category :- Others issue details:- Shipping charges Type :- Query Status :- FCR-Resolved Courier Company :- NA AWB Number :- NA Subject :- Price Hike Delhivery Additional information :- NA Request for call back :- NA Please enter your number :- NA Group :- Customer Support Call Center Agent :- Prajjwal LOPS action :- NA FOPS action :- NA Tech support actions :- NA Name :- NA Description :-"
Shipcoin,https://sites.google.com/shiprocket.com/sop-shiprocket/shipcoin,"SHIPCOIN Q1. FAQ 1 :-Where can I check my Shipcoins? out can check the balance at the top right icon on the myShiprocket app. Click on the coins to get more details FAQ2.How can I earn Shipcoins? For every order which is fulfilled by Shiprocket, buyer will receive – 1% of the order value OR 250 shipcoins (whichever is minimum) FAQ 3 : - What is the validity of Shipcoins? Shipcoins are valid for 12 months from the date it is credited in the wallet. For example, shipcoins earned on 1st August, 2023 will expire on 31st July, 2024. Buyer can check the shipcoins balance via myShiprocket app FAQ4.How can I use Shipcoins? Buyer can use Shipcoins in availing attractive gifts and rewards from all the leading brands FAQ 5.When will Shipcoins be credited to my account? Buyer will receive Shipcoins on each order delivery and can use those Shipcoins to buy other services online via partner payment gateway' FAQ 6.Can I transfer Shipcoins to my friends or families? No. Shipcoins are not transferable to any other member. FAQ 7. How can Buyer utilize these coins? Ans – Buyer can use these coins while ordering from attached brands only. (PFA - list of 3376 brands) Steps are :- - Buyer needs to choose pay with reward option while processing for payment option Enter OTP sent to the device & submit. Points will be added to the order and discount will be applied to the order. FAQ 8. Will Seller have any knowledge or visibility of shipcoins ? Ans- No this is only for Buyers."
ZOP,https://sites.google.com/shiprocket.com/sop-shiprocket/home/zop,"ZOP ZOP.in for Shopify Channel Features :- Automatic Order Sync:- Pending orders from Shopify are automatically synced into the Zop.in system. Automatic Status Sync:- The status of orders processed through Zop.in is automatically updated on the Shopify platform. Catalog & Inventory Sync:- Active products on Shopify are fetched into the Zop.in system for inventory management. Auto Refund:- Shopify sellers can set up auto-refunds credited as store credits. Abandon Cart Message Updates : Automated WhatsApp messages can be sent to customers about incomplete purchases, potentially increasing conversion rates. For Shopify users, integrating Zop.in can streamline their order management and enhance customer engagement. 1) If any ZOP seller contacts CC for order query - advisor needs to entertain however if seller requests for product listing, kindly deny for the same. 2) If Buyer contacts CC - Route the buyer to support email Id and number- support@zop.in & 9953253070 3) If Seller complaints for sync issue in Shopify raise ticket to TECH support with ZOP tag."
Delivery Boost,https://sites.google.com/shiprocket.com/sop-shiprocket/live/delivery-boost,"Back Delivery Boost launch Date of Delivery Boost - 22-Feb-2023 - Free trial period has been ended for existing sellers (Existing sellers means who have created the account before 22nd Feb'23) Opening : Good Morning/Afternoon/Evening Welcome to shiprocket. My Name is _. How may I help you? System Check :- 1) Copy link from SPARK & paste it in new tab / Click on Internal ICRM (Ask for AWB no. in shadowfax cases) Inform seller about :- Delivery Boost is a smart technology feature (Artificial Intelligence) which helps you to communicate with the buyer for order delivery confirmation. It automatically initiates the delivery failure message to the buyers and ask for the confirmation to ‘reattempt for delivery’. Note - Shipments that get delivered on ‘reattempt request’ are considered as a Delivery Boost shipment. BPR (Buyer Positive response) shipments are only going to be considered in delivery boost. Important Info- 1. Delivery boost is free for Sellers who have Joined SR after 22nd Feb. 2. The actual trial will only start after 20 BPR (Buyer Positive Responses), before that the seller will be in an endless trial and Shiprocket will not send any communication/ Notification related to Delivery BOOST. 3. In case the free trial period has ended then the Seller will not be able to avail of free service again. - we can see the activation status in the NDR tab. Further assistance :- Is there service related anything else I can help you with ? Closing :- Thank you for calling Shiprocket. Have a nice day Note: How to check VAS activation and deactivation via ICRM: Login to seller panel >> Enter Comp ID or registered number>> Click on View Details>> Click on Tech Product. Benefits Activation & Deactivation Charges & Invoicing Demo FAQs"
SR Promise,https://sites.google.com/shiprocket.com/sop-shiprocket/home/sr-promise,"SR Promise Shiprocket Promise is a purchase protection program designed to enhance customer trust and boost website conversions. Purpose : It aims to build customer trust at various touchpoints during the shopping experience. Availability : Currently, Shiprocket Promise is available as a self-serve app specifically for Shopify stores. Sellers on other platforms can reach out to Shiprocket at srpromise@shiprocket.com for customization options. Adding the Promise Widget : To enable the Promise widget on your Shopify store, follow these steps: Visit the Shopify app store and install the Shiprocket Promise app. Complete the onboarding process, which includes updating store details, adding business information, specifying your return policy, selecting trust badges, and customizing the widget's appearance. Save the widget and approve billing through the Shopify billing API. Customization : Sellers can customize the Promise widget and trust badges to match their store's theme, including changes to text color, font-family, and font-weight. Performance Dashboard : Once the Promise widgets are enabled, sellers can access a dashboard to monitor their store's performance, including metrics like EDD compliance, Promise orders, and ATC percentage. Eligibility : You must have an active website. You need to display the Shiprocket Promise badge on your homepage, product detail page, and checkout page. All tracking communication should be sent through the myShiprocket app. Non-Seller Use : Non-Shiprocket sellers can also use Shiprocket Promise by completing a quick onboarding process."
WarehouseFulfillment Related,https://sites.google.com/shiprocket.com/sop-shiprocket/live/warehousefulfillment-related,"Back Opening : Good Morning /Afternoon/ Evening Welcome to Ship rocket. My Name is _. How may I help you? System Check :- 1) Copy link from SPARK & paste it in new tab / Click on Internal ICRM (Ask for AWB no. in shadowfax cases) Inform seller about following :- I would like to inform you that Shiprocket Fulfillment is an e-Commerce fulfillment solution offering a platform for order fulfillment, warehousing, catalog, and inventory management. With our tech-enabled fulfillment centers across India, eCommerce brands can store products close to their customers and ship 3 times faster at lower costs. Probing :- Question :- Sir/ Ma'am, May i know for which city you are looking for warehouse / fulfillment service ? Answer :- I would like to inform you that we have 45 warehouses and Fulfillment service is available in 14 cities . Delhi, Gurugram, Jaipur, Lucknow, Ludhiana, Faridabad, Bangalore, Chennai, Hyderabad, Kolkata, Guwahati, Mumbai, Ahmedabad and Surat. Proactive Information : You needs to have the GST number of particular state in order to store the product in shiprocket warehouse . Sir/Ma'am, if you want, I am arranging a call back for you from our fulfillment expert team for pricing and other informations & team will contact with within 24 hours . Fill the pipe drive on Spark id and confirm below details (Mandate) :- Name :- Country code :- Number :- Address :- Product category :- Plan start date for shipment :- Note:-Mail should be marked to shilpi.garg1@shiprocket.com , regarding the warehouse inventory related update and information. (looping Clients is mandatory on email) Further assistance :- Is there service related anything else I can help you with ? Closing :- Thank you for calling Ship rocket. Have a nice day Benefits Tagging"
RTO Initiated IN TAT,https://sites.google.com/shiprocket.com/sop-shiprocket/rto-initiated-in-tat,RTO Initiated (IN TAT) Opening : Good Morning/Afternoon/Evening Welcome to Shiprocket. My Name is _. How may I help you? System Check :- 1) Copy link from SPARK & paste it in new tab / Click on Internal ICRM (Ask for AWB no. in shadow fax cases) 2) Click on View details > Click on Shipment section 3) Check the RTO Date 4) Check NDR Remarks Scenerio:- If seller wants to know why his shipment get rto Resolution - Advisor informed about the NDR Remarks and informed the seller that shipment will get delivery to the seller within 15 working days from date of Rto Initiated no further attempt is possible Nugget Tagging Seller User:- Seller's registered emai id Channel:- Customer Support Call Center Agent Assign :- Own Name Ticket Priority :- Low Status :- Resolved Subject :- RTO Query Body:- NA Private Notes :- NA Phone:- Calling number Source:- Phone / Chat Type:- Query FCR:- Yes Escalation Desk/ORM Tag :- NA VOC :- NA SR Issue Category:- Shipment NDR & RTO Sub Category :- Fake attempt done Issue Details :- NA Courier Name:- NA AWB Number :- NA Multiple AWB Number :- NA Multiple Case Scenario :- NA Shipment Status :- NA Jira Link :- NA KAM Action Flag :- NA
